"#12 V motor (1) Z axis On the table, run at 12 V, using tape",
Time - Voltage - Voltage,Amplitude - Voltage - Voltage
0.241333,1.398
0.242,1.393
0.242667,1.398
0.243333,1.403
0.244,1.403
0.244667,1.393
0.245333,1.395
0.246,1.393
0.246667,1.4
0.247333,1.403
0.248,1.395
0.248667,1.385
0.249333,1.393
0.25,1.395
0.250667,1.385
0.251333,1.393
0.252,1.388
0.252667,1.39
0.253333,1.4
0.254,1.39
0.254667,1.383
0.255333,1.393
0.256,1.395
0.256667,1.393
0.257333,1.395
0.258,1.395
0.258667,1.398
0.259333,1.393
0.26,1.406
0.260667,1.395
0.261333,1.393
0.262,1.406
0.262667,1.393
0.263333,1.383
0.264,1.395
0.264667,1.393
0.265333,1.388
0.266,1.393
0.266667,1.39
0.267333,1.393
0.268,1.395
0.268667,1.406
0.269333,1.383
0.27,1.398
0.270667,1.408
0.271333,1.39
0.272,1.398
0.272667,1.403
0.273333,1.395
0.274,1.38
0.274667,1.39
0.275333,1.395
0.276,1.388
0.276667,1.393
0.277333,1.398
0.278,1.39
0.278667,1.393
0.279333,1.388
0.28,1.398
0.280667,1.395
0.281333,1.395
0.282,1.398
0.282667,1.377
0.283333,1.39
0.284,1.393
0.284667,1.395
0.285333,1.395
0.286,1.403
0.286667,1.395
0.287333,1.385
0.288,1.395
0.288667,1.393
0.289333,1.385
0.29,1.385
0.290667,1.4
0.291333,1.393
0.292,1.385
0.292667,1.395
0.293333,1.39
0.294,1.39
0.294667,1.395
0.295333,1.4
0.296,1.395
0.296667,1.39
0.297333,1.403
0.298,1.406
0.298667,1.395
0.299333,1.395
0.3,1.4
0.300667,1.393
0.301333,1.383
0.302,1.403
0.302667,1.408
0.303333,1.388
0.304,1.393
0.304667,1.395
0.305333,1.385
0.306,1.393
0.306667,1.395
0.307333,1.4
0.308,1.39
0.308667,1.393
0.309333,1.398
0.31,1.398
0.310667,1.388
0.311333,1.398
0.312,1.393
0.312667,1.388
0.313333,1.4
0.314,1.377
0.314667,1.388
0.315333,1.39
0.316,1.398
0.316667,1.39
0.317333,1.383
0.318,1.393
0.318667,1.383
0.319333,1.4
0.32,1.398
0.320667,1.388
0.321333,1.393
0.322,1.395
0.322667,1.393
0.323333,1.395
0.324,1.395
0.324667,1.395
0.325333,1.398
0.326,1.4
0.326667,1.395
0.327333,1.383
0.328,1.393
0.328667,1.4
0.329333,1.38
0.33,1.393
0.330667,1.398
0.331333,1.388
0.332,1.395
0.332667,1.395
0.333333,1.393
0.334,1.395
0.334667,1.403
0.335333,1.395
0.336,1.393
0.336667,1.39
0.337333,1.406
0.338,1.395
0.338667,1.395
0.339333,1.395
0.34,1.393
0.340667,1.395
0.341333,1.395
0.342,1.398
0.342667,1.38
0.343333,1.393
0.344,1.403
0.344667,1.39
0.345333,1.385
0.346,1.398
0.346667,1.388
0.347333,1.398
0.348,1.395
0.348667,1.395
0.349333,1.377
0.35,1.395
0.350667,1.395
0.351333,1.395
0.352,1.395
0.352667,1.395
0.353333,1.398
0.354,1.398
0.354667,1.398
0.355333,1.393
0.356,1.398
0.356667,1.406
0.357333,1.398
0.358,1.39
0.358667,1.403
0.359333,1.395
0.36,1.388
0.360667,1.393
0.361333,1.408
0.362,1.395
0.362667,1.398
0.363333,1.398
0.364,1.39
0.364667,1.385
0.365333,1.398
0.366,1.393
0.366667,1.388
0.367333,1.395
0.368,1.398
0.368667,1.388
0.369333,1.398
0.37,1.398
0.370667,1.385
0.371333,1.393
0.372,1.395
0.372667,1.395
0.373333,1.388
0.374,1.398
0.374667,1.395
0.375333,1.39
0.376,1.398
0.376667,1.398
0.377333,1.385
0.378,1.395
0.378667,1.403
0.379333,1.39
0.38,1.383
0.380667,1.395
0.381333,1.406
0.382,1.388
0.382667,1.395
0.383333,1.395
0.384,1.393
0.384667,1.388
0.385333,1.406
