"#12V motor run at 12V, 60 seconds, x axis",
Time - Voltage - Voltage_0,Amplitude - Voltage - Voltage_0
0.103333,-4.419m
0.103667,-1.872m
0.104,-1.872m
0.104333,-1.872m
0.104667,-3.146m
0.105,-4.419m
0.105333,-3.146m
0.105667,-1.872m
0.106,-1.872m
0.106333,3.222m
0.106667,3.222m
0.107,3.222m
0.107333,3.222m
0.107667,3.222m
0.108,3.222m
0.108333,7.043m
0.108667,5.769m
0.109,3.222m
0.109333,-598.5u
0.109667,3.222m
0.11,3.222m
0.110333,3.222m
0.110667,4.496m
0.111,5.769m
0.111333,1.949m
0.111667,-1.872m
0.112,1.949m
0.112333,675.1u
0.112667,3.222m
0.113,675.1u
0.113333,3.222m
0.113667,-5.693m
0.114,-4.419m
0.114333,-598.5u
0.114667,675.1u
0.115,1.949m
0.115333,1.949m
0.115667,675.1u
0.116,675.1u
0.116333,-3.146m
0.116667,-3.146m
0.117,675.1u
0.117333,-598.5u
0.117667,675.1u
0.118,-1.872m
0.118333,-5.693m
0.118667,-6.966m
0.119,-3.146m
0.119333,-3.146m
0.119667,675.1u
0.12,675.1u
0.120333,-1.872m
0.120667,-598.5u
0.121,-3.146m
0.121333,-598.5u
0.121667,675.1u
0.122,4.496m
0.122333,4.496m
0.122667,5.769m
0.123,3.222m
0.123333,3.222m
0.123667,3.222m
0.124,3.222m
0.124333,3.222m
0.124667,7.043m
0.125,7.043m
0.125333,3.222m
0.125667,1.949m
0.126,1.949m
0.126333,-1.872m
0.126667,-3.146m
0.127,675.1u
0.127333,675.1u
0.127667,3.222m
0.128,3.222m
0.128333,-3.146m
0.128667,-3.146m
0.129,-598.5u
0.129333,-1.872m
0.129667,1.949m
0.13,1.949m
0.130333,-598.5u
0.130667,-1.872m
0.131,-3.146m
0.131333,-3.146m
0.131667,-598.5u
0.132,-598.5u
0.132333,1.949m
0.132667,-1.872m
0.133,-1.872m
0.133333,-5.693m
0.133667,-5.693m
0.134,-3.146m
0.134333,-1.872m
0.134667,675.1u
0.135,675.1u
0.135333,-1.872m
0.135667,-1.872m
0.136,-4.419m
0.136333,-1.872m
0.136667,675.1u
0.137,3.222m
0.137333,3.222m
0.137667,1.949m
0.138,-598.5u
0.138333,675.1u
0.138667,3.222m
0.139,3.222m
0.139333,7.043m
0.139667,5.769m
0.14,3.222m
0.140333,675.1u
0.140667,3.222m
0.141,3.222m
0.141333,5.769m
0.141667,4.496m
0.142,1.949m
0.142333,1.949m
0.142667,-3.146m
0.143,-3.146m
0.143333,675.1u
0.143667,675.1u
0.144,3.222m
0.144333,-1.872m
0.144667,-1.872m
0.145,-3.146m
0.145333,-4.419m
0.145667,3.222m
0.146,1.949m
0.146333,-1.872m
0.146667,675.1u
0.147,-3.146m
0.147333,-3.146m
0.147667,675.1u
0.148,675.1u
0.148333,675.1u
0.148667,-3.146m
0.149,-3.146m
0.149333,-5.693m
0.149667,-1.872m
0.15,-3.146m
0.150333,675.1u
0.150667,675.1u
0.151,-1.872m
0.151333,-1.872m
0.151667,-4.419m
0.152,-4.419m
0.152333,675.1u
0.152667,1.949m
0.153,3.222m
0.153333,1.949m
0.153667,1.949m
0.154,675.1u
0.154333,1.949m
0.154667,3.222m
0.155,4.496m
0.155333,7.043m
0.155667,5.769m
0.156,3.222m
0.156333,3.222m
0.156667,675.1u
0.157,3.222m
0.157333,4.496m
0.157667,4.496m
0.158,1.949m
0.158333,675.1u
0.158667,-1.872m
0.159,-1.872m
0.159333,675.1u
0.159667,-598.5u
0.16,3.222m
0.160333,1.949m
0.160667,-1.872m
0.161,-4.419m
0.161333,-1.872m
0.161667,-1.872m
0.162,-1.872m
0.162333,1.949m
0.162667,1.949m
0.163,-1.872m
0.163333,-1.872m
0.163667,-5.693m
0.164,-5.693m
0.164333,-1.872m
0.164667,-598.5u
0.165,-3.146m
0.165333,-3.146m
0.165667,-5.693m
0.166,-3.146m
0.166333,-1.872m
0.166667,-1.872m
0.167,675.1u
0.167333,-598.5u
0.167667,675.1u
0.168,-3.146m
0.168333,-1.872m
0.168667,-1.872m
0.169,1.949m
0.169333,3.222m
0.169667,4.496m
0.17,3.222m
0.170333,4.496m
0.170667,675.1u
0.171,675.1u
0.171333,3.222m
0.171667,3.222m
0.172,7.043m
0.172333,7.043m
0.172667,3.222m
0.173,1.949m
0.173333,-1.872m
0.173667,675.1u
0.174,4.496m
0.174333,3.222m
0.174667,675.1u
0.175,675.1u
0.175333,-3.146m
0.175667,-3.146m
0.176,-598.5u
0.176333,675.1u
0.176667,1.949m
0.177,1.949m
0.177333,-598.5u
0.177667,-1.872m
0.178,-598.5u
0.178333,-598.5u
0.178667,3.222m
0.179,675.1u
0.179333,-1.872m
0.179667,-3.146m
0.18,-6.966m
0.180333,-5.693m
0.180667,-3.146m
0.181,-3.146m
0.181333,675.1u
0.181667,675.1u
0.182,-3.146m
0.182333,-5.693m
0.182667,-4.419m
0.183,-3.146m
0.183333,-598.5u
0.183667,675.1u
0.184,1.949m
0.184333,1.949m
0.184667,675.1u
0.185,675.1u
0.185333,-598.5u
0.185667,3.222m
0.186,3.222m
0.186333,5.769m
0.186667,3.222m
0.187,1.949m
0.187333,675.1u
0.187667,-598.5u
0.188,1.949m
0.188333,3.222m
0.188667,4.496m
0.189,5.769m
0.189333,1.949m
0.189667,675.1u
0.19,-1.872m
0.190333,675.1u
0.190667,675.1u
0.191,3.222m
0.191333,3.222m
0.191667,-598.5u
0.192,675.1u
0.192333,-3.146m
0.192667,-3.146m
0.193,-4.419m
0.193333,1.949m
0.193667,1.949m
0.194,3.222m
0.194333,-1.872m
0.194667,-3.146m
0.195,-5.693m
0.195333,-3.146m
0.195667,-3.146m
0.196,-3.146m
0.196333,675.1u
0.196667,1.949m
0.197,-1.872m
0.197333,-1.872m
0.197667,-3.146m
0.198,-4.419m
0.198333,-598.5u
0.198667,-1.872m
0.199,3.222m
0.199333,3.222m
0.199667,675.1u
0.2,675.1u
0.200333,-598.5u
0.200667,-598.5u
0.201,1.949m
0.201333,3.222m
0.201667,7.043m
0.202,7.043m
0.202333,3.222m
0.202667,3.222m
0.203,675.1u
0.203333,-598.5u
0.203667,3.222m
0.204,4.496m
0.204333,4.496m
0.204667,3.222m
0.205,-1.872m
0.205333,-1.872m
0.205667,675.1u
0.206,-1.872m
0.206333,675.1u
0.206667,-1.872m
0.207,-1.872m
0.207333,-5.693m
0.207667,-3.146m
0.208,-1.872m
0.208333,1.949m
0.208667,-1.872m
0.209,675.1u
0.209333,675.1u
0.209667,-1.872m
0.21,-1.872m
0.210333,-5.693m
0.210667,-1.872m
0.211,-598.5u
0.211333,675.1u
0.211667,675.1u
0.212,-1.872m
0.212333,-1.872m
0.212667,-4.419m
0.213,-4.419m
0.213333,-598.5u
0.213667,-598.5u
0.214,1.949m
0.214333,675.1u
0.214667,675.1u
0.215,-1.872m
0.215333,-1.872m
0.215667,3.222m
0.216,5.769m
0.216333,5.769m
0.216667,3.222m
0.217,3.222m
0.217333,-598.5u
0.217667,675.1u
0.218,-598.5u
0.218333,3.222m
0.218667,3.222m
0.219,3.222m
0.219333,3.222m
0.219667,675.1u
0.22,-1.872m
0.220333,1.949m
0.220667,1.949m
0.221,4.496m
0.221333,3.222m
0.221667,-598.5u
0.222,675.1u
0.222333,-4.419m
0.222667,-4.419m
0.223,-1.872m
0.223333,-598.5u
0.223667,1.949m
0.224,-1.872m
0.224333,-5.693m
0.224667,-5.693m
0.225,-3.146m
0.225333,-1.872m
0.225667,675.1u
0.226,-1.872m
0.226333,-1.872m
0.226667,-5.693m
0.227,-5.693m
0.227333,-1.872m
0.227667,-598.5u
0.228,1.949m
0.228333,1.949m
0.228667,-3.146m
0.229,-1.872m
0.229333,-5.693m
0.229667,-1.872m
0.23,-598.5u
0.230333,675.1u
0.230667,1.949m
0.231,1.949m
0.231333,675.1u
0.231667,1.949m
0.232,675.1u
0.232333,4.496m
0.232667,3.222m
0.233,7.043m
0.233333,5.769m
0.233667,675.1u
0.234,675.1u
0.234333,3.222m
0.234667,3.222m
0.235,4.496m
0.235333,4.496m
0.235667,675.1u
0.236,1.949m
0.236333,-1.872m
0.236667,-1.872m
0.237,1.949m
0.237333,675.1u
0.237667,1.949m
0.238,1.949m
0.238333,-598.5u
0.238667,-598.5u
0.239,-3.146m
0.239333,-6.966m
0.239667,-1.872m
0.24,-3.146m
0.240333,675.1u
0.240667,-3.146m
0.241,-1.872m
0.241333,-5.693m
0.241667,-4.419m
0.242,-1.872m
0.242333,-1.872m
0.242667,675.1u
0.243,675.1u
0.243333,-1.872m
0.243667,-5.693m
0.244,-4.419m
0.244333,-4.419m
0.244667,-3.146m
0.245,1.949m
0.245333,1.949m
0.245667,675.1u
0.246,-3.146m
0.246333,-4.419m
0.246667,-3.146m
0.247,4.496m
0.247333,4.496m
0.247667,1.949m
0.248,3.222m
0.248333,1.949m
0.248667,675.1u
0.249,3.222m
0.249333,4.496m
0.249667,7.043m
0.25,7.043m
0.250333,3.222m
0.250667,-1.872m
0.251,-1.872m
0.251333,1.949m
0.251667,675.1u
0.252,3.222m
0.252333,3.222m
0.252667,675.1u
0.253,-4.419m
0.253333,-4.419m
0.253667,-598.5u
0.254,-1.872m
0.254333,3.222m
0.254667,1.949m
0.255,1.949m
0.255333,-1.872m
0.255667,-1.872m
0.256,675.1u
0.256333,-598.5u
0.256667,-1.872m
0.257,675.1u
0.257333,1.949m
0.257667,-1.872m
0.258,-1.872m
0.258333,-4.419m
0.258667,-5.693m
0.259,-598.5u
0.259333,675.1u
0.259667,675.1u
0.26,-3.146m
0.260333,-1.872m
0.260667,-5.693m
0.261,-4.419m
0.261333,-598.5u
0.261667,675.1u
0.262,4.496m
0.262333,4.496m
0.262667,1.949m
0.263,3.222m
0.263333,-598.5u
0.263667,1.949m
0.264,3.222m
0.264333,675.1u
0.264667,5.769m
0.265,5.769m
0.265333,3.222m
0.265667,5.769m
0.266,1.949m
0.266333,675.1u
0.266667,-1.872m
0.267,-3.146m
0.267333,675.1u
0.267667,675.1u
0.268,3.222m
0.268333,1.949m
0.268667,-1.872m
0.269,-1.872m
0.269333,-5.693m
0.269667,-3.146m
0.27,-1.872m
0.270333,-598.5u
0.270667,3.222m
0.271,1.949m
0.271333,-598.5u
0.271667,-598.5u
0.272,-3.146m
0.272333,-3.146m
0.272667,-3.146m
0.273,1.949m
0.273333,-1.872m
0.273667,-1.872m
0.274,-4.419m
0.274333,-5.693m
0.274667,-1.872m
0.275,-1.872m
0.275333,1.949m
0.275667,675.1u
0.276,-1.872m
0.276333,-598.5u
0.276667,-4.419m
0.277,1.949m
0.277333,1.949m
0.277667,5.769m
0.278,4.496m
0.278333,3.222m
0.278667,3.222m
0.279,1.949m
0.279333,675.1u
0.279667,675.1u
0.28,3.222m
0.280333,7.043m
0.280667,7.043m
0.281,3.222m
0.281333,1.949m
0.281667,-1.872m
0.282,-1.872m
0.282333,675.1u
0.282667,675.1u
0.283,3.222m
0.283333,3.222m
0.283667,3.222m
0.284,-1.872m
0.284333,-1.872m
0.284667,-5.693m
0.285,-598.5u
0.285333,675.1u
0.285667,1.949m
0.286,675.1u
0.286333,-1.872m
0.286667,-5.693m
0.287,-1.872m
0.287333,-1.872m
0.287667,-1.872m
0.288,-3.146m
0.288333,-598.5u
0.288667,-5.693m
0.289,-5.693m
0.289333,-3.146m
0.289667,-1.872m
0.29,675.1u
0.290333,-598.5u
0.290667,-3.146m
0.291,-1.872m
0.291333,-4.419m
0.291667,-3.146m
0.292,675.1u
0.292333,675.1u
0.292667,4.496m
0.293,4.496m
0.293333,3.222m
0.293667,675.1u
0.294,3.222m
0.294333,3.222m
0.294667,3.222m
0.295,7.043m
0.295333,4.496m
0.295667,3.222m
0.296,1.949m
0.296333,675.1u
0.296667,3.222m
0.297,3.222m
0.297333,5.769m
0.297667,1.949m
0.298,1.949m
0.298333,-3.146m
0.298667,-3.146m
0.299,-598.5u
0.299333,1.949m
0.299667,-598.5u
0.3,-1.872m
0.300333,-4.419m
0.300667,-4.419m
0.301,675.1u
0.301333,-1.872m
0.301667,1.949m
0.302,1.949m
0.302333,-598.5u
0.302667,-1.872m
0.303,-5.693m
0.303333,-5.693m
0.303667,-3.146m
0.304,675.1u
0.304333,-598.5u
0.304667,-3.146m
0.305,-5.693m
0.305333,-5.693m
0.305667,-1.872m
0.306,-598.5u
0.306333,1.949m
0.306667,1.949m
0.307,-598.5u
0.307333,-1.872m
0.307667,-3.146m
0.308,-4.419m
0.308333,675.1u
0.308667,3.222m
0.309,4.496m
0.309333,1.949m
0.309667,3.222m
